term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
References,References,"Term borrowed from EOL (EOL: referenceType). It represents the references that an element could have, in one or more of the different format and schemas: BICI, CODEN,DOI, EISSN, HANDLE, ISBN, ISSN, LSID, OCLC, SICI, URL, URN",,corresponds to eol:referenceType,http://www.w3.org/2000/01/rdf-schema#Class,,Metadata,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
AnnualCycleUnstructured,Unstructured Annual Cycle,AnnualCyles element in text block format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
StartTimeInterval,Start Time Interval,"The date-time or interval at which an event starts. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).   A controlled vocabulary is recommended.",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/startTimeInterval,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
EndTimeInterval,End Time Interval,"The date-time or interval at which an event ends. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).  A controlled vocabulary is recommended.",,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/endTimeInterval,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Event,Event,An action that occurs at some location during some time.  A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/Event,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
abstract,Abstract,A brief summary of the most relevant or attractive features of this taxon to the general public.  Could point to any kind of information. ,,Example: Blue whale is the largest mammal in the world. ,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/Metadata/dataset/abstract|/Dataset/TaxonRecord/BaseElements/Abstract,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
taxonRecordID,Taxon Record id,Unique identifier of the record within the database.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/BaseElements/TaxonRecordID|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/ParentTaxon/TaxonRecordID,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
CommonName,Common Name,The name of the common name. ,,From GBIF EML profile,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/CommonName,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
UsedBy,Used By,Sometimes names used by one group of people are adopted by another.  ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property   ,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedBy,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
commonNamesUnstructured,unstructured common names,CommonNames element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
demographyAndThreatUnstructured,Unstructured Demography And Threat,demographyAndThreat element in unstructured format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DemographyAndThreatUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
legislationUnstructured,Unstructured Legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
LegislationName,Legislation Name,Word or phrase to designate the law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationName,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ProtectionLegalStatus,Protection Legal Status,Description of the legal status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/ProtectionLegalStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
LegislationRead,Legislation Read,The oficial document in which the user can read the legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationRead,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
legislationStatus,Legislation Status,"Whether a piece of legislation is in force, or superseded, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
legislationType,Legislation Type,Category of the piece of legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationType,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
legalNorm,Legal Norm,"Norms are general legal principles that are widely accepted. This acceptance is evidenced in a number of ways, such as international agreements, national legislation, domestic and international judicial decisions, and scholarly writings.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegalNorm,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DispersalUnstructured,Unstructured Dispersal,Dispersal element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Purpose,Purpose,Makes reference to any data being measured.,,It includes elements of type MeasurmentsOrFacts,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/Metadata/dataset/purpose|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Purpose,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DispersalMeans,Dispersal Means,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory.",,"Type of dispersal, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/DispersalMeans,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
StructureDispersed,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals.",,"Structured that is dispersed for a given biologial propose, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/StructureDispersed,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Distance,Distance,The distance reached by the structured dispersed.,,It includes elements of type MeasurmentsOrFacts,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Distance,,,Dispersal distance. e.g. 450 m. ,plic,plic,http://rs.tdwg.org/plic/terms/,
FeedingType,Feeding Type,Primary diet source. A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/FeedingType,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ecologicalSignificanceAtomized,Atomized Ecological Significance,Ecological Significance element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ecologicalSignificanceUnstructured,Unstructured Ecological Significance,Ecological Significance element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
environmentalEnvelopeAtomized,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
environmentalEnvelopeUnstructured,Unstructured Environmental Envelope,environmentalEnvelope as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
feedingUnstructured,Unstructured Feeding,feeding element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DistributionUnstructured,Unstructured Distribution,Distribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionUnstructured|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DistributionScope,Distribution Scope,List of regions structured and categorized., ,"A controlled vocabulary is recommended. e.g. Historical, Current, Restricted and Wide. ",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
TemporalCoverage,Temporal Coverage,"This field specifies temporal coverage of the distribution, and allows coverages to be a single point in time, multiple points in time, or a range of dates.",,From GBIF EML profile,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/temporalCoverage|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/temporalCoverage|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/temporalCoverage|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/temporalCoverage,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
GeographicEntity,Geographic Entity,Name of the geographic entity. ,,A controlled vocabulary --as specified in the Catalogue element-- is recommended. e.g. Spain; Aguascalientas; Alabama; Ambon,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionAtomized/GeographicEntity,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
EndemicTo,Endemic To,A territory in which an endemic species appear. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"Examples: Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicTo,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
EndemicIn,Endemic In,The area that works as a context for specifying endemic areas of a species. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"If not specified, the Earth as a whole is assumed as the geographical context. Examples:  Vicuña (Vicugna vicugna Molina, 1782) endemic to the Andean region **in South America**. Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (**in Spain**).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicIn,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
endemicUnstructured,Unstructured Endemic,Information on the endemicity of a species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
habitatAtomized,Atomized Habitat,habitatAndDistribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
habitatAndDistributionUnstructured,Unstructured Habitat And Distribution,habitatAndDistribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/HabitatAndDistributionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
habitatUnstructured,Unstructured Habitat,habitat element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SpeciesInteraction,Species Interaction ,"Information category concerning relations between resources (instances or records, such as Occurrences, Taxa, Locations, Events,...).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/SpeciesInteraction,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SpeciesInteractionType,Species Interaction Type,String with the type of interaction. Each element is separated by comma and each list of elements by.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/SpeciesInteractionType,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
invasivenessUnstructured,Unstructured Invasiveness,invasiveness element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
WhatImpact,What Impact,"An indication of the actual impact as a free text string. e.g. destroys  riparian vegetation, destroys irrigation systems, displaces Arvicola  sapidus.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/WhatImpact,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
vector,Vector,"By which means a species occupies a new territory. e.g. fishing boats; dirty boots, cars (Aedes albopictus).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/vector,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Route,Route,This is equivalent and probably replaceable by gisin:route.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/Route,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
impactTarget,Impact Target,This is equivalent and probably replaceable by gisin:impactTarget.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactTarget,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
impactMechanism,Impact Mechanism,Mechanism of introduction or impact to a new location.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactMechanism,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
lifeCycleAtomized,Atomized Life Cycle,lifeCycle element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeCycle,/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
lifeCycleUnstructured,Unstructured Life Cycle,lifeCycle element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeCycle,/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
lifeFormAtomized,Atomized Life Form,lifeCycleForm element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeForm,/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
lifeFormUnstructured,Unstructured Life Form,lifeCycleForm element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeForm,/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
citation,Citation,"A single citation for use when citing the dataset. e.g. http://www.researchgate.net/publication/28271701_Sobre_la_presencia_de_Callithamnion_sepositum_%28Ceramiales_Rhodophyta%29_en_las_costas_de_la_Pennsula_Ibrica Type: xs:anyURY. A URI, DOI or other persistent identifier for the citation.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/Metadata/citation,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Dataset_ID,Dataset ID,An identifier for the dataset.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/Metadata/Dataset_ID,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
dataset,dataset,The dataset element is a wrapper for all other elements relating to a single dataset as defined in eml.xsd (eml/dataset).,,From GBIF EML profile,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset|/Dataset/Metadata/dataset,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
resourceLogoUrl,resourceLogoUrl,The URI of an icon/logo symbolizing the project.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/Metadata/resourceLogoUrl,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
migratoryUnstructured,unstructured migratory,"The regular, usually seasonal, movement of all or part of an animal population to and from a given area, which can occur in variable periods of time and even involve more than one generation as text block.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Causes,Causes,Reasons for the species to move from one place to another in a specific lap.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Causes,,yes,,plic,plic,http://rs.tdwg.org/plic/terms/,
Patterns,Patterns,Displacement of the species in space.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Patterns,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Routes,Routes,Trajectory followed by the species.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Routes,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Season,Season,Time of year in which a species migrates.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Season,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
MolecularDataAtomized,atomized molecular data,MolecularData element in structured format.,,It includes elements of type MeasurmentsOrFacts,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
MolecularDataUnstructured,unstructured molecular data,MolecularData as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
RelatedTo,RelatedTo,Specifies to which PlinianCore term the information contained under MolecularDataAtomized refers to. The controlled vocabulary is list of content-bearing PlinianCore elements.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Distance/RelatedTo|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Purpose/RelatedTo|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/RelatedTo,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
behaviorAtomized,Atomized Behavior,"Responses, reactions or movements made by an organism in a particular situation.  ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Behavior,/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized,,,0,plic,plic,http://rs.tdwg.org/plic/terms/,
behaviorUnstructured,Unstructured Behavior,"Responses, reactions or movements made by an organism in a particular situation.  ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Behavior,/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
NaturalHistoryUnstructured,Natural History Unstructured,"NaturalHistory element in text block format. This term is an unstructured alternative that may fit in an structured way in terms under the following categories:  TaxonomicDescription, LifeForm, LifeCycle, Reproduction, AnnualCycles, Feeding, Dispersal, Behavior, Interactions, MolecularData, Migratory, EcologicalSignificance, MiscDetails, EnvironmentalEnvelope.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NaturalHistory,/Dataset/TaxonRecord/NaturalHistory/NaturalHistoryUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
NomenclatureAndClassificationUnstructured,Nomenclature and Classification Unstructured,"Information on the taxon name, synonyms, nomenclatural status, common names, and taxonomic hierarchy; plus  misc. details and ancillary data.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/NomenclatureAndClassificationUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
